plot,date,time,temp,rec_time
A,180519,0226,18.6,8760
A,180519,0241,18.5,9660
A,180519,0256,18.5,10560
A,180519,0311,18.4,11460
A,180519,0326,18.4,12360
A,180519,0341,18.3,13260
A,180519,0356,18.2,14160
A,180519,0411,18.0,15060
A,180519,0426,18.0,15960
A,180519,0441,17.8,16860
A,180519,0456,17.8,17760
A,180519,0511,17.8,18660
A,180519,0526,17.5,19560
A,180519,0541,17.5,20460
A,180519,0556,17.5,21360
A,180519,0611,17.6,22260
A,180519,0626,17.5,23160
A,180519,0641,17.5,24060
A,180519,0656,17.6,24960
A,180519,0711,17.7,25860
A,180519,0726,17.8,26760
A,180519,0741,17.8,27660
A,180519,0756,18.0,28560
A,180519,0811,18.1,29460
A,180519,0826,18.3,30360
A,180519,0841,18.5,31260
A,180519,0856,18.9,32160
A,180519,0911,19.3,33060
A,180519,0926,19.7,33960
A,180519,0941,20.2,34860
A,180519,0956,20.7,35760
A,180519,1011,21.7,36660
A,180519,1026,22.7,37560
A,180519,1041,23.6,38460
A,180519,1056,23.5,39360
A,180519,1111,24.0,40260
A,180519,1126,24.4,41160
A,180519,1141,25.0,42060
A,180519,1156,25.5,42960
A,180519,1211,26.3,43860
A,180519,1226,26.9,44760
A,180519,1241,27.4,45660
A,180519,1256,28.0,46560
A,180519,1311,28.1,47460
A,180519,1326,28.2,48360
A,180519,1341,29.1,49260
A,180519,1356,28.9,50160
A,180519,1411,28.5,51060
A,180519,1426,27.0,51960
A,180519,1441,25.2,52860
A,180519,1456,24.6,53760
A,180519,1511,24.5,54660
A,180519,1526,24.0,55560
A,180519,1541,23.8,56460
A,180519,1556,23.8,57360
A,180519,1611,23.6,58260
A,180519,1626,23.6,59160
A,180519,1641,23.7,60060
A,180519,1656,23.7,60960
A,180519,1711,23.9,61860
A,180519,1726,24.2,62760
A,180519,1741,24.3,63660
A,180519,1756,24.5,64560
A,180519,1811,24.5,65460
A,180519,1826,24.7,66360
A,180519,1841,24.9,67260
A,180519,1856,25.1,68160
A,180519,1911,24.8,69060
A,180519,1926,24.5,69960
A,180519,1941,24.2,70860
A,180519,1956,23.9,71760
A,180519,2011,23.6,72660
A,180519,2026,23.5,73560
A,180519,2041,23.5,74460
A,180519,2056,23.3,75360
A,180519,2111,23.1,76260
A,180519,2126,22.9,77160
A,180519,2141,22.7,78060
A,180519,2156,22.5,78960
A,180519,2211,22.3,79860
A,180519,2226,22.1,80760
A,180519,2241,22.0,81660
A,180519,2256,21.7,82560
A,180519,2311,21.5,83460
A,180519,2326,21.3,84360
A,180519,2341,21.2,85260
A,180519,2356,21.0,86160
A,180520,0011,20.9,660
A,180520,0026,20.6,1560
A,180520,0041,20.4,2460
A,180520,0056,20.3,3360
A,180520,0111,20.1,4260
A,180520,0126,19.9,5160
A,180520,0141,19.7,6060
A,180520,0156,19.6,6960
A,180520,0211,19.6,7860
A,180520,0226,19.4,8760
A,180520,0241,19.0,9660
A,180520,0256,18.9,10560
A,180520,0311,18.9,11460
A,180520,0326,18.9,12360
A,180520,0341,18.7,13260
A,180520,0356,18.6,14160
A,180520,0411,18.5,15060
A,180520,0426,18.5,15960
A,180520,0441,18.3,16860
A,180520,0456,18.0,17760
A,180520,0511,17.8,18660
A,180520,0526,18.0,19560
A,180520,0541,18.0,20460
A,180520,0556,18.0,21360
A,180520,0611,17.8,22260
A,180520,0626,17.7,23160
A,180520,0641,17.8,24060
A,180520,0656,17.8,24960
A,180520,0711,17.7,25860
A,180520,0726,17.8,26760
A,180520,0741,17.8,27660
A,180520,0756,17.9,28560
A,180520,0811,18.0,29460
A,180520,0826,18.3,30360
A,180520,0841,18.6,31260
A,180520,0856,19.0,32160
A,180520,0911,19.3,33060
A,180520,0926,19.7,33960
A,180520,0941,20.2,34860
A,180520,0956,20.7,35760
A,180520,1011,21.3,36660
A,180520,1026,22.0,37560
A,180520,1041,22.9,38460
A,180520,1056,23.7,39360
A,180520,1111,24.0,40260
A,180520,1126,24.9,41160
A,180520,1141,25.4,42060
A,180520,1156,26.5,42960
