glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_noise_30m,t_noise_30m,ent_noise_30m
4,180611,A,6,17,180611_A17_161_wavchunk36_f,180611_A17_161_wavchunk36_f,411.280625,412.5293125,110031.2806,110032.5293,21.7,3196.371984,750,12.81345413,0,22,4,0.993230217
4,180611,A,7,17,180611_A17_161_wavchunk36_f,180611_A17_161_wavchunk36_f,565.6368542,568.956375,110185.6369,110188.9564,21.7,2748.18224,796.875,14.15866999,0,22,5,1.145548266
4,180611,A,8,17,180611_A17_161_wavchunk37_f,180611_A17_161_wavchunk37_f,119.2728333,120.9668958,110339.2728,110340.9669,21.7,3814.096162,468.75,10.62534588,0,21,5,1.161187086
4,180611,A,9,17,180611_A17_161_wavchunk37_f,180611_A17_161_wavchunk37_f,211.09,273.3932083,110431.09,110493.3932,21.7,3385.183298,515.625,13.4351488,0,23,5,1.214313064
4,180611,A,10,17,180611_A17_161_wavchunk38_f,180611_A17_161_wavchunk38_f,43.23010417,81.19689583,110863.2301,110901.1969,21.7,3234.209964,609.375,13.13969874,0,24,5,1.197297015
4,180611,A,11,17,180611_A17_161_wavchunk39_f,180611_A17_161_wavchunk39_f,382.5628958,467.9227083,111802.5629,111887.9227,21.6,3558.536248,503.90625,14.29204859,0,22,5,1.209928208
4,180611,A,12,17,180611_A17_161_wavchunk41_f,180611_A17_161_wavchunk41_f,288.9142917,405.8680417,112908.9143,113025.868,21.6,3949.260859,515.625,13.21674419,0,15,4,0.953271015
4,180611,A,13,17,180611_A17_161_wavchunk42_f,180611_A17_161_wavchunk42_f,13.56785417,62.348,113233.5679,113282.348,21.6,3306.119062,421.875,12.18277547,0,17,4,1.091006011
4,180611,A,0,36,180611_A36_161_wavchunk1_f,180611_A36_161_wavchunk1_f,265.5448958,267.1445625,89245.5449,89247.14456,25,1312.738494,468.75,10.627214,0,9,2,0.636514168
4,180611,A,0,29,180611_A29_161_wavchunk1_f,180611_A29_161_wavchunk1_f,81.80408333,84.271375,89241.80408,89244.27138,25,2139.819474,1453.125,23.1022545,0,9,2,0.636514168
