glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180611,A,1.0,16,180611_A16_160_wavchunk12_f,180611_A16_160_wavchunk12_f,411.6628958,428.71325,66711.6629,66728.71325,29.399999999999995,4343.949645411641,1125.0,5.439196207671532,0,0,,2,1203.783709999996
3,180611,A,2.0,16,180611_A16_160_wavchunk15_f,180611_A16_160_wavchunk15_f,412.0175833,417.7011875,68512.01758,68517.70119,29.0,2184.682195878373,1453.125,2.9910488464668235,0,0,,0,3004.13839
3,180611,A,0.0,4,180611_A04_160_wavchunk41_f,180611_A04_160_wavchunk41_f,400.35775,407.3918958,84880.35775,84887.3919,25.1,3189.564007735008,1382.8125,5.402219530326769,1,0,,0,16368.340169999996
3,180611,C,0.0,11,180611_C11_08_wavchunk4_f,180611_C11_08_wavchunk4_f,493.3929583,494.815625,30073.39296,30074.81563,26.3,5414.2014352486285,984.375,7.731958762886597,0,0,44301.196670000005,0,3690.2204999999994
3,180611,C,1.0,11,180611_C11_16_1_wavchunk21_f,180611_C11_16_1_wavchunk21_f,351.2623333,358.081625,67791.26233,67798.08163,26.7,4843.851484246528,1171.875,10.851533787313604,1,0,6583.3273000000045,5,54.813790000000154
3,180611,C,2.0,11,180611_C11_16_1_wavchunk50_f,180611_C11_16_1_wavchunk50_f,536.1815,577.2317292,85376.1815,85417.23173,24.0,3256.935807734038,1148.4375,13.20754716981132,0,7,391.77987000001303,2,892.1268999999884
3,180611,C,0.0,21,180611_C21_08_wavchunk10_f,180611_C21_08_wavchunk10_f,463.6134583,465.3835625,33763.61346,33765.38356,26.6,2643.465724426491,1312.5,7.34411411623473,0,0,40610.97617,0,3690.2204999999994
3,180611,C,0.0,5,180611_C05_16_1_wavchunk20_f,180611_C05_16_1_wavchunk20_f,221.9625625,226.5447083,66821.96256,66826.54471,27.0,4452.915304216682,843.75,11.63185181020043,0,0,7552.627070000002,4,729.6790400000027
3,180611,C,0.0,7,180611_C07_16_1_wavchunk21_f,180611_C07_16_1_wavchunk21_f,536.4485417,541.4125625,67736.44854,67741.41256,26.7,4585.087054185351,1265.625,6.24493752964037,1,0,6638.141090000005,5,54.813790000000154
3,180611,C,0.0,8,180611_C08_16_1_wavchunk28_f,180611_C08_16_1_wavchunk28_f,484.0305417,485.2159792,71884.03054,71885.21598,26.0,3527.761007623642,1406.25,6.748681898066784,0,0,2490.559089999995,0,3020.48646
3,180611,C,1.0,8,180611_C08_16_1_wavchunk29_f,180611_C08_16_1_wavchunk29_f,442.5367708,443.8285417,72442.53677,72443.82854,25.8,4338.439111019326,1171.875,3.8705931684030577,0,0,1932.0528599999961,0,3578.992689999999
3,180611,C,2.0,8,180611_C08_16_2_wavchunk4_f,180611_C08_16_2_wavchunk4_f,468.3083958,469.7413333,86268.3084,86269.74133,23.7,3925.612479882204,1453.125,6.978772899098575,0,5,1283.9067700000014,1,892.1268999999884
